학교명,학제,설립구분,시,지역,학교홈페이지,평균등록금(원),교외장학금 국가,교외장학금 지방자치단체,교외장학금 사설및기타,교내장학금 성적우수장학금,교내장학금 근로장학금,교내장학금 기타장학금
동신대학교,대학교,사립,전남,나주시,www.dsu.ac.kr,6733888,18594192708,111900000,296820000,236620670,322254112,5712032210
동아대학교,대학교,사립,부산,사하구,www.donga.ac.kr,7078779,47365966523,211647005,963835600,7563398680,1013198079,2338322407
동아방송예술대학교,전문대학,사립,경기,안성시,www.dima.ac.kr,7350814,9097826425,66665400,80950000,875972400,102753510,567784200
동아보건대학교,전문대학,사립,전남,영암군,www.duh.ac.kr,4907622,4100876809,3638920,53400000,45333750,11043868,609044823
동양대학교,대학교,사립,경북,영주시,www.dyu.ac.kr,7233405,9819289885,219588300,476126000,898328800,117202760,2207968911
동양미래대학교,전문대학,사립,서울,구로구,www.dongyang.ac.kr/,6672432,16658966688,97644400,188920000,1302285250,1548946072,1594529908
동원과학기술대학교,전문대학,사립,경남,양산시,www.dist.ac.kr,5777479,7290640931,97000000,197139000,140987350,73424520,1124973600
동원대학교,전문대학,사립,경기,광주시,www.tw.ac.kr,6871817,8790874444,4463300,40056000,297943500,132360636,1857351434
동의과학대학교,전문대학,사립,부산,부산진구,www.dit.ac.kr,6309081,14171710110,44719280,76192248,434428650,88866090,2475167770
동의대학교,대학교,사립,부산,부산진구,www.deu.ac.kr,6616457,38729024330,106533400,284805800,5504416160,1189144020,3410238546
두원공과대학교,전문대학,사립,경기,안성시,www.doowon.ac.kr,6480433,6206699879,8300000,114856800,377733700,109298834,1209950900
루터대학교,대학교,사립,경기,용인시,www.ltu.ac.kr,6334500,1019223012,0,2500000,21105000,31334028,174726810
마산대학교,전문대학,사립,경남,창원시,www.masan.ac.kr,5885696,15093591930,18952640,189228000,991456660,382494000,2633062350
명지대학교,대학교,사립,"서울, 경기","용인시, 서대문구",www.mju.ac.kr,8126888,29252760810,139240400,360354000,2904103500,920188802,8697218180
명지전문대학,전문대학,사립,서울,서대문구,www.mjc.ac.kr,6580480,19979269144,116446560,115952550,505327600,914565676,1864188065
목원대학교,대학교,사립,대전,서구,www.mokwon.ac.kr,7297250,19488083046,52911920,118477000,1826163160,527511034,3561973303
목포가톨릭대학교,대학교,사립,전남,목포시,www.mcu.ac.kr,6539000,1784424900,0,163670000,395273320,4947950,55043800
목포과학대학교,전문대학,사립,전남,목포시,www.msu.ac.kr,5741669,8929066818,0,324635000,95479500,236159670,998263340
목포대학교,대학교,국립,전남,무안군,www.mokpo.ac.kr,3887172,17548929010,467713280,451772422,1428669970,718855040,765009700
목포해양대학교,대학교,국립,전남,목포시,www.mmu.ac.kr,3404767,4431159850,37798780,389672000,733264000,137059990,424995810
문경대학교,전문대학,사립,경북,문경시,www.mkc.ac.kr,5899100,3060761522,85722480,21850000,144218000,31745408,98846300
배재대학교,대학교,사립,대전,서구,www.pcu.ac.kr,7282058,18810956459,37040800,94284680,1263794580,514449396,3844664930
배화여자대학교,전문대학,사립,서울,종로구,www.baewha.ac.kr,6038476,7048089865,1050300,88873000,763596000,100828050,472254594
백석대학교,대학교,사립,충남,천안시,www.bu.ac.kr,7917546,29654832334,12531280,247080900,4165567000,258749806,3834114620
백석문화대학교,전문대학,사립,충남,천안시,www.bscu.ac.kr,6862914,12050397633,10100000,99775000,608359500,159638992,1915991530
백제예술대학교,전문대학,사립,전북,완주군,www.paekche.ac.kr,7554457,2953313233,0,4000000,278398800,43050000,176175500
부경대학교,대학교,국립,부산,남구,www.pknu.ac.kr,4035531,31529438625,107467410,1399974911,3183755660,1776576100,2457559480
부산가톨릭대학교,대학교,사립,부산,금정구,www.cup.ac.kr,6850820,12906880524,36793120,126755000,1130582334,359324734,1614524000
부산경상대학교,전문대학,사립,부산,연제구,www.bsks.ac.kr,5762475,11398026503,7562840,25810000,66251850,151020052,2825620000
부산과학기술대학교,전문대학,사립,부산,북구,bist.ac.kr,6080328,9512471180,27484880,120600000,507964000,67163886,2421516800
부산대학교,대학교,국립,부산,금정구,www.pusan.ac.kr,4464815,36080650047,1008221310,2370819580,6035027000,1603041028,2212544880
부산여자대학교,전문대학,사립,부산,부산진구,www.bwc.ac.kr,5964228,6782479263,2214880,72054400,189312600,179538128,1016023520
부산예술대학교,전문대학,사립,부산,남구,www.busanarts.ac.kr,6168139,2081163436,0,24479000,54820000,20732582,509718450
부산외국어대학교,대학교,사립,부산,금정구,www.bufs.ac.kr,6280817,14715901853,33178880,195326000,1043986000,841941110,3371620367
부산장신대학교,대학교,사립,경남,김해시,www.bpu.ac.kr,5815145,625810761,0,35400000,38147000,15362234,80105000
부천대학교,전문대학,사립,경기,부천시,www.bc.ac.kr,6669357,23755129356,10819880,84423930,1689348380,680751606,2739329440
삼육대학교,대학교,사립,서울,노원구,www.syu.ac.kr,7830281,13489174356,270258065,432805625,1239860150,1396958708,2573870460
삼육보건대학교,전문대학,사립,서울,동대문구,www.shu.ac.kr,5794464,2978323575,3966400,36053500,359470900,183282540,379624900
상명대학교,대학교,사립,"충남, 서울","종로구, 천안시",www.smu.ac.kr,7960516,26388785807,79254780,354981020,6437066033,1240634797,3746890210
상지대학교,대학교,사립,강원,원주시,www.sangji.ac.kr,7245284,12914879512,353868220,405485650,868770100,115018408,3964681746
서강대학교,대학교,사립,서울,마포구,www.sogang.ac.kr,7999996,10785411833,123255220,2310428800,766461000,1853849029,1174686606
서경대학교,대학교,사립,서울,성북구,www.skuniv.ac.kr,7966242,13599330651,25370160,79904000,1812351133,883396012,2416506212
서라벌대학교,전문대학,사립,경북,경주시,home.sorabol.ac.kr/,5889400,1640081620,0,30700000,87257000,22873950,347766500
서영대학교,전문대학,사립,광주,북구,www.seoyeong.ac.kr,5551303,15948845435,1500000,58830000,505346000,118524480,2233426975
서울과학기술대학교,대학교,국립,서울,노원구,www.seoultech.ac.kr,5465375,19160438296,117293480,615596237,2260015210,1720973354,5412628020
서울기독대학교,대학교,사립,서울,은평구,www.scu.ac.kr,7468537,960595083,2795400,104692960,119230000,50070874,37854300
서울신학대학교,대학교,사립,경기,부천시,www.stu.ac.kr,7209330,7906749582,2600600,137332500,308738700,248996818,647012760
서울여자간호대학교,전문대학,사립,서울,서대문구,www.snjc.ac.kr,6410350,1654401424,35000000,2768400,296322000,51636760,339203200
서울여자대학교,대학교,사립,서울,노원구,www.swu.ac.kr,7593345,15610111835,160214780,543806620,1742762950,584592485,1501444849
서울예술대학교,전문대학,사립,경기,안산시,www.seoularts.ac.kr,8212185,7795343888,87060000,180810000,997726000,680182912,770515400
서울장신대학교,대학교,사립,경기,광주시,www.sjs.ac.kr,7531198,1338301937,0,30930000,113673832,83155052,248769900
