학교명,학제,설립구분,시,지역,학교홈페이지,등록금,국가장학금,지방자치단체장학금,사설및기타장학금,성적우수장학금,근로장학금,기타장학금,교외장학금,교내장학금,전체 장학금,남은 장학금
서경대학교,대학교,사립,서울,성북구,www.skuniv.ac.kr,7966242,13599330651,25370160,79904000,1812351133,883396012,2416506212,13704604811,5112253357,18816858168,18808891926
서라벌대학교,전문대학,사립,경북,경주시,home.sorabol.ac.kr,5889400,1640081620,0,30700000,87257000,22873950,347766500,1670781620,457897450,2128679070,2122789670
서영대학교,전문대학,사립,광주,북구,www.seoyeong.ac.kr,5551303,15948845435,1500000,58830000,505346000,118524480,2233426975,16009175435,2857297455,18866472890,18860921587
서울과학기술대학교,대학교,국립,서울,노원구,www.seoultech.ac.kr,5465375,19160438296,117293480,615596237,2260015210,1720973354,5412628020,19893328013,9393616584,29286944597,29281479222
서울기독대학교,대학교,사립,서울,은평구,www.scu.ac.kr,7468537,960595083,2795400,104692960,119230000,50070874,37854300,1068083443,207155174,1275238617,1267770080
서울신학대학교,대학교,사립,경기,부천시,www.stu.ac.kr,7209330,7906749582,2600600,137332500,308738700,248996818,647012760,8046682682,1204748278,9251430960,9244221630
서울여자간호대학교,전문대학,사립,서울,서대문구,www.snjc.ac.kr,6410350,1654401424,35000000,2768400,296322000,51636760,339203200,1692169824,687161960,2379331784,2372921434
서울여자대학교,대학교,사립,서울,노원구,www.swu.ac.kr,7593345,15610111835,160214780,543806620,1742762950,584592485,1501444849,16314133235,3828800284,20142933519,20135340174
서울예술대학교,전문대학,사립,경기,안산시,www.seoularts.ac.kr,8212185,7795343888,87060000,180810000,997726000,680182912,770515400,8063213888,2448424312,10511638200,10503426015
서울장신대학교,대학교,사립,경기,광주시,www.sjs.ac.kr,7531198,1338301937,0,30930000,113673832,83155052,248769900,1369231937,445598784,1814830721,1807299523
서원대학교,대학교,사립,충북,청주시,www.seowon.ac.kr,6954290,17719178442,237220260,309150100,1568859200,1011904788,4200691710,18265548802,6781455698,25047004500,25040050210
서일대학교,전문대학,사립,서울,중랑구,www.seoil.ac.kr,6090480,15373378397,10816400,116743830,1828047970,405325813,756849620,15500938627,2990223403,18491162030,18485071550
서정대학교,전문대학,사립,경기,양주시,www.seojeong.ac.kr,6289153,18826319277,18515500,31796000,246838600,535629363,7071800519,18876630777,7854268482,26730899259,26724610106
선린대학교,전문대학,사립,경북,포항시,www.sunlin.ac.kr,5834875,6186658103,0,54000000,307558800,75957988,768857300,6240658103,1152374088,7393032191,7387197316
선문대학교,대학교,사립,충남,아산시,www.sunmoon.ac.kr,7598499,24098603212,108151920,2328969615,1464533500,596747612,7123753709,26535724747,9185034821,35720759568,35713161069
성결대학교,대학교,사립,경기,안양시,www.sungkyul.ac.kr,7251329,11908906277,34661200,84130000,2587805118,655605334,2174899953,12027697477,5418310405,17446007882,17438756553
성공회대학교,대학교,사립,서울,구로구,www.skhu.ac.kr,7089425,5538534102,59604280,28218750,571358350,96458738,523501360,5626357132,1191318448,6817675580,6810586155
